ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Agriculture,1979,122.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Aggregate): Total,1979,3705.4,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Agriculture,1979,122.2,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Belgium,Employment by sex and economic activity (thousands),OE - Estimations Officielles,Sex: Total,Economic activity (Broad sector): Total,1979,3705.4,,,,Data reference period: June | Population coverage: Including armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Agriculture,1979,1081,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Aggregate): Total,1979,4335.4,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Agriculture,1979,1081,,,,Population coverage: Excluding armed forces and/or conscripts
Bulgaria,Employment by sex and economic activity (thousands),OE - Official Estimates,Sex: Total,Economic activity (Broad sector): Total,1979,4335.4,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Agriculture,1979,37.1,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Aggregate): Total,1979,184.4,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Agriculture,1979,37.1,,,,Population coverage: Excluding armed forces and/or conscripts
Cyprus,Employment by sex and economic activity (thousands),OE - Estimates based on Employment-related Surveys,Sex: Total,Economic activity (Broad sector): Total,1979,184.4,,,,Population coverage: Excluding armed forces and/or conscripts
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1979,175.5,,,Break in series: Other or unspecified type of break,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1979,2438.7,,,Break in series: Other or unspecified type of break,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Agriculture,1979,175.5,,,Break in series: Other or unspecified type of break,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Denmark,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Broad sector): Total,1979,2438.7,,,Break in series: Other or unspecified type of break,Data reference period: Second quarter | Population coverage: Excluding armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Agriculture,1979,309,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
Finland,Employment by sex and economic activity (thousands),LFS - Labour Force Survey,Sex: Total,Economic activity (Aggregate): Total,1979,2289,,,,Population coverage: Including armed forces and/or conscripts | Age coverage - maximum age: 74 years old
